what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1380076486779
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1380076486782
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1380076486783
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1380076486784
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1380076486785
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1380076486787
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1380076486788
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1380076486790
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1380076486795
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1380076486796
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1380076486798
os,sysinfo,,,"win32",1380076486805
arch,sysinfo,,,"x86_64",1380076486805
ws,sysinfo,,,"win32",1380076486805
locale,sysinfo,,,"en_US",1380076486805
processors,sysinfo,,,"4",1380076486805
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1380076486805
java.runtime.version,sysinfo,,,"1.7.0_21-b11",1380076486805
java.specification.name,sysinfo,,,"Java Platform API Specification",1380076486805
java.specification.vendor,sysinfo,,,"Oracle Corporation",1380076486805
java.specification.version,sysinfo,,,"1.7",1380076486805
java.vendor,sysinfo,,,"Oracle Corporation",1380076486805
java.version,sysinfo,,,"1.7.0_21",1380076486805
java.vm.info,sysinfo,,,"mixed mode",1380076486805
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1380076486805
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1380076486805
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1380076486805
java.vm.specification.version,sysinfo,,,"1.7",1380076486805
java.vm.vendor,sysinfo,,,"Oracle Corporation",1380076486805
java.vm.version,sysinfo,,,"23.21-b01",1380076486805
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1380076486819
started,bundle,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui",1380076487067
started,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1380076487069
started,bundle,org.eclipse.dltk.rse.core,2.0.1.v20100804-1944,"org.eclipse.dltk.rse.core",1380076487071
